restaurant_id,name,direction,phone,website,type_food,special_diets,price_range,trip_rating,no_reviews,service_rating,food_rating,value_rating
1,Ristorante Pizzeria Nastro Azzurro,"Vicolo Listone 4 vicolo che da sulla piazza Bra con tavolini, 37121, Verona Italy",+39 045 800 4457,http://www.ristorantenastroazzurroverona.it/,"Italian, Pizza, Seafood, Mediterranean, European, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",N.A,4.5,2710,4.5,4.5,4.5
2,La Griglia,"Via Leoncino, 29, 37121, Verona Italy",+39 045 803 1212,http://www.trattorialagriglia.it/?page_id=62,N.A,N.A,N.A,4.5,4493,4.5,4.5,4
3,Antica Bottega del Vino,"Vicolo Scudo di Francia 3, 37121, Verona Italy",+39 045 800 4535,http://www.bottegavini.it/bottegavini/index.php?lang=it,N.A,N.A,N.A,4,2363,4,4,3.5
4,Trattoria Al Pompiere,"Vicolo Regina dUngheria 5, 37121, Verona Italy",+39 045 803 0537,http://www.alpompiere.com/,N.A,"Vegetarian Friendly, Gluten Free Options",€40 - €60,4.5,2240,4.5,4.5,4
5,Ristorante Greppia,"Vicolo Samaritana, 37121, Verona Italy",+39 045 800 4577,http://www.ristorantegreppia.com/,"Italian, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",€26 - €65,4,3280,4,4,4
6,Locanda 4 Cuochi,"Via Alberto Mario 12, 37121, Verona Italy",+39 045 803 0311,http://www.locanda4cuochi.it/,N.A,N.A,N.A,4.5,2203,4.5,4.5,4
7,Osteria Il Bertoldo,"Vicolo Cadrega 2/a Near Piazza Erbe, 37121, Verona Italy",+39 045 801 5604,http://www.osteriabertoldo.com/,Italian,"Vegetarian Friendly, Gluten Free Options",€25 - €50,4.5,1633,4.5,4.5,4.5
8,Parma a Tavola,"Corso SantAnastasia 20, 37121, Verona Italy",+39 045 801 2001,http://www.parmatavola.com/,"Italian, Healthy, Emilian, Northern-Italian",Vegetarian Friendly,€13 - €30,4.5,1699,4.5,4.5,4
9,La Vecia Mescola Dell’Oste,"Vicolo Chiodo 4, 37121, Verona Italy",+39 045 803 6608,http://www.trattorieverona.it/,"Italian, Seafood","Vegetarian Friendly, Gluten Free Options",€20 - €30,4.5,2654,4.5,4.5,4.5
10,Osteria Casa Vino,"Vicolo Morette 8/a, 37121, Verona Italy",+39 045 800 4337,http://www.osteriacasavino.com/,"Italian, Mediterranean","Vegetarian Friendly, Vegan Options, Gluten Free Options",€15 - €40,4,1224,4,4.5,4
11,La Bottega della Gina,"Via Fama 4/c, 37121, Verona Italy",+39 045 594725,http://www.labottegadellagina.it/,"Italian, Healthy",Vegetarian Friendly,€8 - €18,4.5,1454,4.5,4.5,4.5
12,Ristorante 12 Apostoli,"Corticella San Marco 3 Orario chiusura a pranzo 14.00, 37121, Verona Italy",+39 045 596999,http://www.12apostoli.it/,N.A,N.A,N.A,4.5,968,4.5,4.5,4
13,Osteria Il Ciottolo,"Corso Cavour 39 C, 37121, Verona Italy",+39 045 923 1331,http://www.osteriailciottolo.it/,"Italian, Mediterranean, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",€15 - €35,4.5,3130,4.5,4.5,4.5
