restaurant_id,latitude,longitude
1,n_a,n_a
2.0,45.4385703,10.9958355
3.0,45.441603,10.9971064
4.0,45.4419491,10.9979381
5.0,45.4417573,10.9974387
6.0,45.4401801,10.9937928
7,n_a,n_a
8.0,45.4444836,10.998536
9.0,45.4396339,10.9908364
10.0,45.4393147,10.9891642
11.0,45.4434315,10.9953712
12,n_a,n_a
13.0,45.440103,10.9898384
14.0,42.522452,-70.890078
15.0,45.4390555,10.9875826
16.0,45.4433446,10.9975853
17.0,45.4438415,10.9976589
18.0,45.439807,10.9942165
19,n_a,n_a
20.0,53.5927,-2.2987622
21.0,45.4348716,10.9847469
22.0,45.4420212,10.9994678
23.0,45.4418604,11.004204
24.0,45.4754717,10.950321
25.0,31.27825410204082,-92.47078012244897
26,n_a,n_a
27.0,45.4484159,11.0022263
28.0,45.4388014,10.991793
29.0,45.4393388,10.9918542
30.0,45.4418641,10.9940403
31.0,45.44421,10.9971347
32.0,45.512415,10.7976692
33.0,45.44379635,11.0006701666804
34.0,45.4465512,10.9990942
35.0,45.442835,11.0023846
36.0,45.446215,10.9996566
37.0,45.4414222,10.9986772
38.0,45.43932,10.9887205
39.0,51.3212752,-2.2045061
40.0,45.4473816,10.9995464
41.0,45.4431371,11.0001714
42.0,39.8498617,-75.7034191
43.0,45.4395275,10.992923
44.0,45.4418562,10.9949948
45.0,45.4440393,10.9993798
46,n_a,n_a
47.0,45.4431371,11.0001714
48.0,45.4392303,10.9923143
49.0,45.4449388,11.0007789
50,n_a,n_a
51.0,45.4460688,10.9980216
52.0,45.4440476,10.9999865
53.0,45.4414187,10.9942194
54.0,45.4468671,10.9968909
55.0,45.435981,10.9907324
56,n_a,n_a
57.0,51.2211097,4.3997081
58,n_a,n_a
59.0,45.4411092,10.9958761
60.0,45.438545,10.9907285
61,n_a,n_a
62,n_a,n_a
63.0,45.4448767,10.9995592
64.0,45.4363044,10.9980386
65,n_a,n_a
66.0,45.44305895,10.997172947181298
67,n_a,n_a
68,n_a,n_a
69.0,45.4387332,10.9917135
70.0,45.4433655,10.9955948
71,n_a,n_a
72.0,45.4402259,10.9965639
73,n_a,n_a
74.0,45.4408386,10.9950242
75,n_a,n_a
76.0,45.4440161,10.9898341
77,n_a,n_a
78,n_a,n_a
79.0,45.4399349,10.9894603
80.0,45.4414936,10.9421916
81,n_a,n_a
82,n_a,n_a
83.0,40.826284,-74.568658
84.0,45.4396354,11.014073
85.0,45.4435421,10.9977804
86.0,45.4357193,10.9861713
87.0,45.4435631,10.9969666
88.0,45.4388843,10.9913915
89.0,45.4421063,10.9962917
90.0,45.4351076,10.9897041
91,n_a,n_a
92,n_a,n_a
93.0,45.2991814,11.0736526
94.0,40.7186103,-73.9975423
95.0,45.4422829,10.9984006
96.0,45.4378634,10.9946668
97.0,45.4403109,10.9933481
98.0,45.4391018,10.9921255
99.0,45.4435023,10.9970369
100.0,45.4358781,10.9993436
101.0,45.4492152,11.0005711
102.0,45.4434505,10.9993864
103.0,45.4412985,10.9980951
104,n_a,n_a
105.0,45.4445809,10.9969456
106.0,45.4429024,10.995348
107.0,45.4418722,10.9939492
108.0,45.4466135,10.9962229
109.0,45.4414856,10.9975379
110.0,45.4430077,10.9949754
111.0,45.4391082,10.991162
112.0,45.4396053,10.9932447
113,n_a,n_a
114.0,45.5407008,10.891441
115.0,45.4406877,10.9968459
116.0,45.4431996,10.9977032
117.0,45.4474123,10.9990128
118.0,45.4466631,11.0025046
119.0,45.4444211,11.0005403
120,n_a,n_a
121.0,45.4408403,10.9961422
122.0,45.4422913,10.9775944
123.0,45.4386535,10.9911425
124.0,45.4370279,10.9877668
125.0,45.4468375,10.9996479
126,n_a,n_a
127.0,45.4467175,10.9997719
128.0,40.7483705,-73.4286493
129.0,53.4568369,-2.6179847
130.0,3.125905,101.6373041
131,n_a,n_a
132.0,45.4336087,10.9895584
133.0,45.4719889,11.0195261
134.0,45.440409,10.9733453
135.0,45.4447116,10.9983535
136.0,45.4433882,11.0004635
137.0,45.4342245,10.9889565
138.0,45.4373965,10.9959198
139.0,32.749107798773814,-117.13004774880943
140,n_a,n_a
141,n_a,n_a
142.0,45.4471444,10.9996278
143.0,45.4394082,10.992593
144.0,45.4465577,11.0000962
145,n_a,n_a
146.0,45.4392225,10.9884525
147,n_a,n_a
148.0,45.4408965,10.9831689
149.0,45.4439096,10.9975853
150.0,45.4400688,10.9936005
151,n_a,n_a
152.0,45.4452753,10.9987403
153.0,45.4407386,10.9910134
154.0,45.4388014,10.991793
155,n_a,n_a
156.0,45.4442969,10.9979609
157.0,45.4433505,10.9997247
158.0,45.4654832,10.9985127
159.0,45.4436601,10.9991727
160,n_a,n_a
161,n_a,n_a
162.0,40.7494975,-111.8803928
163.0,45.4380175,10.9858393
164.0,45.1842624,11.147998
165,n_a,n_a
166,n_a,n_a
167.0,39.445402,-123.805713
168.0,39.0923174,-94.41753305157343
169.0,45.4373231,10.9951722
170.0,45.4390013,10.9890994
171.0,45.4418008,10.9820349
172.0,39.8960612,-75.0360597
173.0,45.5664938,10.9600171
174.0,45.4853459,11.1346596
175.0,45.4490354,10.9989718
176,n_a,n_a
177.0,-41.1807351,146.3604328
178.0,53.9938409,-1.5384147
179.0,45.4399869,10.99371
180,n_a,n_a
181.0,45.4406441,11.0000791
182.0,45.4471096,10.9996379
183.0,32.721107599999996,-117.2303743814003
184,n_a,n_a
185.0,45.4407768,11.0031206
186.0,45.4389894,10.9873216
187.0,45.4408062,10.9967959
188.0,45.4434672,10.998080227439026
189.0,45.4418986,10.99938
190.0,55.863318,-4.2575078
191.0,45.4416372,10.9793157
192.0,43.1061441,12.3890068
193,n_a,n_a
194,n_a,n_a
195,n_a,n_a
196.0,45.4388094,10.9868834
197.0,45.4659439,11.007106
198.0,45.44171,10.9954445
199.0,45.4659439,11.007106
200.0,45.44132,10.9797583
201.0,45.4447649,11.0002345
202.0,45.1927181,11.3045849
203,n_a,n_a
204,n_a,n_a
205.0,40.50300976840524,-79.83857948902201
206,n_a,n_a
207,n_a,n_a
208,n_a,n_a
209,n_a,n_a
210.0,-28.0352772,153.4314447
211.0,45.4359371,10.9105903
212.0,45.443628,10.9968953
213.0,45.4421751,10.9773771
214.0,45.4443791,11.0001576
215.0,45.4435729,10.9952509
216.0,45.4434515,10.9998991
217.0,48.7206476969697,-122.50466275757576
218,n_a,n_a
219.0,45.4431704,10.997399
220.0,45.44177,10.9949201
221.0,45.4429434,10.9975787
222.0,45.5170653,10.9281349
223.0,45.4437268,12.3270832
224.0,44.461047,26.0981068
225,n_a,n_a
226.0,41.8992086,12.4729099
227,n_a,n_a
228.0,45.4358232,10.9915499
229.0,45.4432654,10.9972961
230.0,45.446773,10.9965903
231,n_a,n_a
232.0,45.4407386,10.9910134
233.0,45.4451823,10.9945604
234.0,45.4435442,10.999857
235.0,48.3332779,21.116467
236.0,33.235293,-97.597454
237,n_a,n_a
238.0,45.441697,10.9794959
239.0,45.4374553,10.9913117
240.0,45.4428301,10.9976557
241.0,51.1113958,17.0394402
242,n_a,n_a
243.0,45.4401603,10.9942321
244,n_a,n_a
245,n_a,n_a
246.0,45.4404539,10.9979781
247.0,45.4352364,10.989609
248.0,25.8112761,-80.3680195
249.0,45.4354922,10.9964121
250,n_a,n_a
251.0,45.4376997,10.7270131
252,n_a,n_a
253.0,45.44305895,10.997172947181298
254,n_a,n_a
255,n_a,n_a
256,n_a,n_a
257,n_a,n_a
258.0,45.3635308,10.8542105
259.0,45.438754,10.986832
260.0,45.4213312,10.9755636
261.0,45.437923,10.9851636
262.0,45.4978829,10.9022506
263,n_a,n_a
264.0,35.29578813729127,-81.51495892207768
265.0,43.7681393,11.2598928
266.0,45.4432565,10.9967494
267.0,45.4432961,11.0796819
268,n_a,n_a
269.0,45.4342069,10.9853639
270.0,45.4423766,11.0032133
271.0,45.4340507,10.9897681
272.0,45.4422343,10.9959674
273.0,45.4432671,10.9977408
274.0,45.442837,10.9963176
275,n_a,n_a
276,n_a,n_a
277,n_a,n_a
278.0,45.4430296,11.0028572
279.0,45.4370143,10.9875793
280.0,45.4375543,10.9869248
281,n_a,n_a
282.0,45.44124,10.9933017
283.0,32.827138043478264,-96.71036804347825
284.0,45.4121367,10.9791972
285,n_a,n_a
286,n_a,n_a
287.0,45.4365244,10.9947905
288,n_a,n_a
289,n_a,n_a
290.0,45.4050553,11.8742348
291.0,45.4406497,11.0203344
292,n_a,n_a
293.0,45.4400338,10.989255
294.0,45.4433851,10.9971625
295.0,45.441345,10.9981885
296.0,45.4396094,10.9916085
297.0,45.4376341,10.9910905
298.0,34.613229000000004,-120.07991
299.0,45.4358527,12.3360312
300,n_a,n_a
301,n_a,n_a
302.0,45.4415894,10.9930742
303,n_a,n_a
304.0,45.4979541,10.9956828
305.0,45.4422573,11.0064759
306.0,45.1927181,11.3045849
307,n_a,n_a
308,n_a,n_a
309.0,45.4432511,10.9980421
310.0,45.4383975,10.9916092
311.0,45.4424115,10.9778878
312.0,45.4413218,10.9801724
313.0,45.4426923,10.9977524
314.0,45.612064,10.7035489
315.0,17.7448232,-88.0235989
316.0,45.4388014,10.991793
317.0,45.4388632,10.9866305
318,n_a,n_a
319,n_a,n_a
320,n_a,n_a
321.0,45.4381685,10.9945445
322.0,45.4411107,10.9964533
323.0,45.4470612,11.0053932
324,n_a,n_a
325,n_a,n_a
326.0,45.564724,10.9431892
327.0,34.070918,-118.344125
328.0,43.7926348,11.2223706
329.0,41.9001078,12.4698171
330,n_a,n_a
331,n_a,n_a
332.0,41.9052826,12.4956147
333,n_a,n_a
334,n_a,n_a
335,n_a,n_a
336.0,43.7723552,11.2558231
337.0,45.4649856,10.6064361
338.0,41.9068694,12.4607383
339,n_a,n_a
340,n_a,n_a
341.0,47.7569696,1.5017887
342.0,45.5052919,10.7322078
343,n_a,n_a
344.0,25.0299378,121.5552448
345.0,45.4065645,10.9852404
346.0,45.4037532,11.0051061
347.0,45.4432913,10.9961346
348.0,45.6933316,9.6681914
349.0,45.415177,10.895582
350,n_a,n_a
351,n_a,n_a
352,n_a,n_a
353.0,45.4589783,10.9953088
354.0,45.4443334,11.0006005
355.0,45.3689826,10.8685691
356.0,45.536037449999995,11.06972299997534
357.0,45.4423655,10.9960605
358.0,45.4775963,11.5347871
359.0,45.4627329,10.6181498
360,n_a,n_a
361,n_a,n_a
362.0,47.327919036585364,-122.58099447560976
363,n_a,n_a
364.0,44.4054338,8.6850368
365.0,45.5486339,10.7232835
366.0,45.4390642,10.9910067
367.0,45.4399686,10.9941141
368,n_a,n_a
369.0,45.4477189,10.9866495
370.0,45.4407175,11.0348622
371,n_a,n_a
372.0,44.4976901,11.3503918
373.0,45.3992242,11.0202754
374,n_a,n_a
375.0,45.4435099,10.9952823
376.0,45.4448179,10.9991868
377.0,45.4355216,10.9852804
378.0,45.5115405,10.8712736
379,n_a,n_a
380,n_a,n_a
381,n_a,n_a
382.0,45.4437268,12.3270832
383.0,-33.9402288,18.4978748
384,n_a,n_a
385,n_a,n_a
386,n_a,n_a
387.0,41.9176933,-87.6982559
388.0,45.8856425,10.8395458
389.0,25.7732592,-80.191979
390,n_a,n_a
391,n_a,n_a
392.0,51.0198019,-4.2061683
393,n_a,n_a
394.0,50.7210108,-2.9387677
395.0,45.5166857,10.8809823
396,n_a,n_a
397.0,45.5392846,10.9140451
398,n_a,n_a
399,n_a,n_a
400.0,45.2713289,11.2486617
401.0,45.4242851,11.2469497
402.0,45.4404428,10.702167
403,n_a,n_a
404.0,45.5655749,10.9141253
405,n_a,n_a
406.0,45.5472172,10.7216761
407.0,51.518869,-0.1359183
408.0,45.4409981,10.9804541
409.0,35.624208,-120.6914685
410.0,45.4394422,10.991248
411.0,45.4055563,11.0032392
412,n_a,n_a
413.0,44.6678275,7.9327124
414,n_a,n_a
415.0,40.626094,14.3623967
416,n_a,n_a
417.0,45.6295637,10.5746313
418.0,44.6217826,10.9809776
419,n_a,n_a
420,n_a,n_a
421,n_a,n_a
422.0,40.6489152,14.6387744
423,n_a,n_a
424,n_a,n_a
425,n_a,n_a
426.0,45.617549,10.5585235
427.0,45.46603,10.5501998
428.0,45.8639483,9.2683893
429,n_a,n_a
430.0,50.081068,14.4192151
431,n_a,n_a
432.0,45.4790116,10.9900749
433.0,45.4452172,10.9907415
434.0,45.4764578,10.9476444
435,n_a,n_a
436.0,45.3950071,11.2707241
437,n_a,n_a
438,n_a,n_a
439.0,40.857388666666665,-124.07262983333334
440,n_a,n_a
441,n_a,n_a
442.0,43.7761091,11.2580802
443,n_a,n_a
444.0,41.8958708,12.4902732
445.0,32.0683252,34.7701261
446.0,51.6010964,-0.6360671
447,n_a,n_a
448.0,45.443687,10.6967917
449.0,45.3409539,10.8876479
450,n_a,n_a
451.0,44.1346556,9.6844065
452.0,51.2199193,4.4005892
453.0,43.7231876,10.4021151
454,n_a,n_a
455.0,45.408091049999996,11.877733080261077
456.0,45.4882666,10.6090825
457.0,51.5095781,-0.1357184
458.0,45.3882096,10.9059931
459,n_a,n_a
460,n_a,n_a
461.0,45.4404522,11.0598018
462.0,45.4141169,10.9782647
463.0,45.4426314,10.9783391
464.0,45.4205716,10.978435
465.0,41.913258,-88.31782083333333
466,n_a,n_a
467.0,44.4972182,11.3475725
468.0,44.4957531,11.3380239
469.0,47.22649215,16.62006816861455
470,n_a,n_a
471,n_a,n_a
472,n_a,n_a
473.0,47.7569696,1.5017887
474,n_a,n_a
475.0,41.902136,12.5043969
476.0,51.5180506,-0.20701541718898123
477.0,45.541399,11.5532223
478.0,45.9058367,13.3091681
479.0,45.47314855,10.952648142994683
480,n_a,n_a
481.0,45.4406877,10.9968459
482,n_a,n_a
483,n_a,n_a
484.0,45.0662549,7.6830707
485.0,44.5808173,10.9770076
486.0,46.0702311,11.1255053
487.0,-37.9215857,145.1391609
488.0,41.889122367346936,-88.3093461020408
489,n_a,n_a
490.0,45.4406393,12.3250026
491,n_a,n_a
492.0,45.4110124,11.8817343
493.0,45.4437351,10.9950153
494.0,45.4422821,10.9979821
495,n_a,n_a
496.0,45.405723,11.8764443
497.0,47.7569696,1.5017887
498.0,45.4370153,10.9905741
499,n_a,n_a
500.0,45.4446211,10.9941143
501.0,47.7569696,1.5017887
502.0,45.4372062,10.9969019
503.0,45.4423932,11.000306
504.0,45.5306572,10.7783284
505.0,52.2346928,21.0045991
506.0,40.3544936,18.1767397
507,n_a,n_a
508.0,44.4938323,11.3451736
509.0,45.4441854,10.9804802
510.0,45.4398201,10.9993255
511,n_a,n_a
512,n_a,n_a
513.0,45.4672934,9.1832756
514.0,45.987577,9.2121764
515.0,41.8964466,12.4988648
516.0,45.4685166,10.5416749
517,n_a,n_a
518.0,45.5457569,11.5443786
