restaurant_id,latitude,longitude
2,45.4385703,"10.9958355"
3,45.441603,"10.9971064"
4,45.4419491,"10.9979381"
5,45.4417573,"10.9974387"
6,45.4401801,"10.9937928"
8,45.4444836,"10.998536"
9,45.4396339,"10.9908364"
10,45.4393147,"10.9891642"
11,45.4434315,"10.9953712"
13,45.440103,"10.9898384"
14,42.522452,"-70.890078"
15,45.4390555,"10.9875826"
16,45.4433446,"10.9975853"
17,45.4438415,"10.9976589"
18,45.439807,"10.9942165"
21,45.4348716,"10.9847469"
22,45.4420212,"10.9994678"
23,45.4418604,"11.004204"
24,45.4754717,"10.950321"
27,45.4484159,"11.0022263"
28,45.4388014,"10.991793"
29,45.4393388,"10.9918542"
30,45.4418641,"10.9940403"
31,45.44421,"10.9971347"
32,45.512415,"10.7976692"
33,45.44379635,"11.0006701666804"
34,45.4465512,"10.9990942"
35,45.442835,"11.0023846"
36,45.446215,"10.9996566"
37,45.4414222,"10.9986772"
38,45.43932,"10.9887205"
40,45.4473816,"10.9995464"
41,45.4431371,"11.0001714"
43,45.4395275,"10.992923"
44,45.4418562,"10.9949948"
45,45.4440393,"10.9993798"
47,45.4431371,"11.0001714"
48,45.4392303,"10.9923143"
49,45.4449388,"11.0007789"
51,45.4460688,"10.9980216"
52,45.4440476,"10.9999865"
53,45.4414187,"10.9942194"
54,45.4468671,"10.9968909"
55,45.435981,"10.9907324"
59,45.4411092,"10.9958761"
60,45.438545,"10.9907285"
63,45.4448767,"10.9995592"
64,45.4363044,"10.9980386"
66,45.44305895,"10.997172947181298"
69,45.4387332,"10.9917135"
70,45.4433655,"10.9955948"
72,45.4402259,"10.9965639"
74,45.4408386,"10.9950242"
76,45.4440161,"10.9898341"
79,45.4399349,"10.9894603"
80,45.4414936,"10.9421916"
83,40.826284,"-74.568658"
84,45.4396354,"11.014073"
85,45.4435421,"10.9977804"
86,45.4357193,"10.9861713"
87,45.4435631,"10.9969666"
88,45.4388843,"10.9913915"
89,45.4421063,"10.9962917"
90,45.4351076,"10.9897041"
93,45.2991814,"11.0736526"
94,40.7186103,"-73.9975423"
95,45.4422829,"10.9984006"
96,45.4378634,"10.9946668"
97,45.4403109,"10.9933481"
98,45.4391018,"10.9921255"
99,45.4435023,"10.9970369"
100,45.4358781,"10.9993436"
101,45.4492152,"11.0005711"
102,45.4434505,"10.9993864"
103,45.4412985,"10.9980951"
105,45.4445809,"10.9969456"
106,45.4429024,"10.995348"
107,45.4418722,"10.9939492"
108,45.4466135,"10.9962229"
109,45.4414856,"10.9975379"
110,45.4430077,"10.9949754"
111,45.4391082,"10.991162"
112,45.4396053,"10.9932447"
114,45.5407008,"10.891441"
115,45.4406877,"10.9968459"
116,45.4431996,"10.9977032"
117,45.4474123,"10.9990128"
118,45.4466631,"11.0025046"
119,45.4444211,"11.0005403"
121,45.4408403,"10.9961422"
122,45.4422913,"10.9775944"
123,45.4386535,"10.9911425"
124,45.4370279,"10.9877668"
125,45.4468375,"10.9996479"
127,45.4467175,"10.9997719"
128,40.7483705,"-73.4286493"
132,45.4336087,"10.9895584"
133,45.4719889,"11.0195261"
134,45.440409,"10.9733453"
135,45.4447116,"10.9983535"
136,45.4433882,"11.0004635"
137,45.4342245,"10.9889565"
138,45.4373965,"10.9959198"
142,45.4471444,"10.9996278"
143,45.4394082,"10.992593"
144,45.4465577,"11.0000962"
146,45.4392225,"10.9884525"
148,45.4408965,"10.9831689"
149,45.4439096,"10.9975853"
150,45.4400688,"10.9936005"
152,45.4452753,"10.9987403"
153,45.4407386,"10.9910134"
154,45.4388014,"10.991793"
156,45.4442969,"10.9979609"
157,45.4433505,"10.9997247"
158,45.4654832,"10.9985127"
159,45.4436601,"10.9991727"
162,40.7494975,"-111.8803928"
163,45.4380175,"10.9858393"
164,45.1842624,"11.147998"
169,45.4373231,"10.9951722"
